Changed database context to 'HQT_BanChuan'.
bronze Bronze_SalesInvoice InvoiceId varchar NO
bronze Bronze_SalesInvoice EmployeeId varchar YES
bronze Bronze_SalesInvoice CustomerId varchar YES
bronze Bronze_SalesInvoice CustomerNameSnapshot nvarchar YES
bronze Bronze_SalesInvoice PhoneSnapshot varchar YES
bronze Bronze_SalesInvoice InvoiceDate varchar YES
bronze Bronze_SalesInvoice TotalAmount decimal YES
bronze Bronze_SalesInvoice Status varchar YES
bronze Bronze_SalesInvoice Note nvarchar YES
bronze Bronze_SalesInvoice sys_created_at datetime YES
bronze Bronze_SalesInvoice sys_updated_at datetime YES
bronze Bronze_SalesInvoice is_deleted bit YES
bronze Bronze_SalesInvoiceLine LineId varchar NO
bronze Bronze_SalesInvoiceLine InvoiceId varchar YES
bronze Bronze_SalesInvoiceLine MedicineId varchar YES
bronze Bronze_SalesInvoiceLine BatchId varchar YES
bronze Bronze_SalesInvoiceLine MedicineNameSnapshot nvarchar YES
bronze Bronze_SalesInvoiceLine UnitNameSnapshot nvarchar YES
bronze Bronze_SalesInvoiceLine Quantity int YES
bronze Bronze_SalesInvoiceLine UnitPrice decimal YES
bronze Bronze_SalesInvoiceLine LineTotal decimal YES
bronze Bronze_SalesInvoiceLine CostPriceSnapshot decimal YES
bronze Bronze_SalesInvoiceLine sys_created_at datetime YES
bronze Bronze_SalesInvoiceLine sys_updated_at datetime YES
bronze Bronze_SalesInvoiceLine is_deleted bit YES
bronze Bronze_SalesReturn ReturnId varchar NO
bronze Bronze_SalesReturn InvoiceId varchar YES
bronze Bronze_SalesReturn EmployeeId varchar YES
bronze Bronze_SalesReturn ReturnDate varchar YES
bronze Bronze_SalesReturn TotalRefund decimal YES
bronze Bronze_SalesReturn Reason nvarchar YES
bronze Bronze_SalesReturn Status varchar YES
bronze Bronze_SalesReturn sys_created_at datetime YES
bronze Bronze_SalesReturn sys_updated_at datetime YES
bronze Bronze_SalesReturn is_deleted bit YES
bronze Bronze_SalesReturnLine LineId varchar NO
bronze Bronze_SalesReturnLine ReturnId varchar YES
bronze Bronze_SalesReturnLine InvoiceLineId varchar YES
bronze Bronze_SalesReturnLine Quantity int YES
bronze Bronze_SalesReturnLine RefundAmount decimal YES
bronze Bronze_SalesReturnLine Reason nvarchar YES
bronze Bronze_SalesReturnLine sys_created_at datetime YES
bronze Bronze_SalesReturnLine sys_updated_at datetime YES
bronze Bronze_SalesReturnLine is_deleted bit YES
bronze Bronze_StockWriteOff WriteOffId varchar NO
bronze Bronze_StockWriteOff EmployeeId varchar YES
bronze Bronze_StockWriteOff WriteOffDate varchar YES
bronze Bronze_StockWriteOff TotalCost decimal YES
bronze Bronze_StockWriteOff Reason nvarchar YES
bronze Bronze_StockWriteOff Status varchar YES
bronze Bronze_StockWriteOff sys_created_at datetime YES
bronze Bronze_StockWriteOff sys_updated_at datetime YES
bronze Bronze_StockWriteOff is_deleted bit YES
bronze Bronze_StockWriteOffLine LineId varchar NO
bronze Bronze_StockWriteOffLine WriteOffId varchar YES
bronze Bronze_StockWriteOffLine BatchId varchar YES
bronze Bronze_StockWriteOffLine MedicineId varchar YES
bronze Bronze_StockWriteOffLine Quantity int YES
bronze Bronze_StockWriteOffLine UnitCost decimal YES
bronze Bronze_StockWriteOffLine LineCost decimal YES
bronze Bronze_StockWriteOffLine Reason nvarchar YES
bronze Bronze_StockWriteOffLine sys_created_at datetime YES
